Sorted_X, Sorted_Y
3,0
3.37802,0.439267
3.70432,0.953613
3.96775,1.53671
4.15794,2.18074
4.2655,2.87655
4.28215,3.61371
4.20093,4.38068
4.01629,5.16496
3.72424,5.95328
3.32242,6.73177
2.81021,7.48614
2.18875,8.20194
1.46099,8.86474
0.631685,9.46032
-0.292628,9.97495
-1.30368,10.3956
-2.39152,10.71
-3.54466,10.9071
-4.75016,10.9771
-5.99376,10.9116
-7.26009,10.7038
-8.53281,10.3488
-9.79484,9.84331
-11.0286,9.1863
-12.216,8.37861
-13.3392,7.42322
-14.3803,6.32522
-15.3218,5.09182
-16.1469,3.73229
-16.8399,2.25792
-17.3858,0.681923
-17.7714,-0.980686
-17.9847,-2.71323
-18.0156,-4.49752
-17.8562,-6.3141
-17.5004,-8.14238
-16.9443,-9.96092
-16.1866,-11.7477
-15.2283,-13.4802
-14.0729,-15.136
-12.7264,-16.6929
-11.1974,-18.1288
-9.49694,-19.4227
-7.63839,-20.5546
-5.63751,-21.5057
-3.51222,-22.2587
-1.28246,-22.7983
1.02998,-23.111
3.40169,-23.1859
5.80789,-23.0142
8.22266,-22.5899
10.6192,-21.9097
12.9702,-20.9731
15.2481,-19.7828
17.4254,-18.344
19.4749,-16.6654
21.3703,-14.7584
23.0861,-12.6372
24.5984,-10.319
25.8848,-7.82363
26.9248,-5.17342
27.7004,-2.39297
28.1959,0.490966
28.3983,3.44986
28.2976,6.4536
27.8871,9.47086
27.163,12.4694
26.1252,15.4163
24.7769,18.2787
23.1249,21.0236
21.1793,23.6186
18.9539,26.0323
16.4658,28.2345
13.7352,30.1966
10.7856,31.892
7.64334,33.2964
4.33741,34.3883
0.899231,35.1487
-2.63768,35.5623
-6.238,35.6169
-9.86501,35.304
-13.4809,34.6189
-17.0472,33.5608
-20.5253,32.1329
-23.8765,30.3425
-27.0628,28.2008
-30.0475,25.7232
-32.7948,22.9288
-35.2712,19.8404
-37.4452,16.4847
-39.288,12.8916
-40.7736,9.09391
-41.8797,5.12752
-42.5872,1.03066
-42.8812,-3.15635
-42.7508,-7.39146
-42.1892,-11.6314
-41.1944,-15.8319
-39.7687,-19.9486
-37.9191,-23.9369
-35.6572,-27.7531
-32.9991,-31.3544
-29.9654,-34.6994
-26.5809,-37.7489
-22.8747,-40.466
-18.8797,-42.8168
-14.6323,-44.7705
-10.1724,-46.3002
-5.54241,-47.3828
-0.787566,-47.9995
4.04502,-48.1363
8.90664,-47.7839
13.7475,-46.9377
18.5171,-45.5987
23.1652,-43.7726
27.6418,-41.4706
31.8979,-38.7088
35.8861,-35.5085
39.5612,-31.8959
42.8804,-27.9018
45.804,-23.5615
48.2959,-18.9145
50.3238,-14.0039
51.8599,-8.87638
52.8811,-3.58138
53.3692,1.82909
53.3115,7.30112
52.7004,12.7793
51.5342,18.2076
49.817,23.5294
47.5585,28.6885
44.7742,33.6298
41.4853,38.2994
37.7183,42.6457
33.5054,46.6195
28.8835,50.175
23.8944,53.2701
18.5842,55.8668
13.003,57.9316
7.20423,59.4364
1.24437,60.3583
-4.81774,60.68
-10.9214,60.3904
-17.0047,59.4845
-23.0053,57.9635
-28.8607,55.835
-34.5091,53.1129
-39.8903,49.8175
-44.9458,45.9753
-49.62,41.6184
-53.8604,36.7851
-57.6182,31.5186
-60.8491,25.8675
-63.5137,19.8846
-65.5779,13.6269
-67.0134,7.15484
-67.7979,0.531941
-67.9156,-6.17614
-67.3573,-12.902
-66.1208,-19.5774
-64.2107,-26.1337
-61.6384,-32.5026
-58.4226,-38.6172
-54.5884,-44.4122
-50.1678,-49.825
-45.1991,-54.796
-39.7266,-59.2696
-33.8003,-63.1948
-27.4754,-66.5253
-20.8118,-69.2206
-13.8734,-71.2463
-6.72777,-72.5743
0.554681,-73.1835
7.90145,-73.0597
15.2386,-72.1963
22.4913,-70.594
29.5852,-68.2612
36.4463,-65.2136
43.0025,-61.4747
49.1841,-57.075
54.9242,-52.0524
60.1599,-46.4512
64.8328,-40.3222
68.8897,-33.7223
72.2829,-26.7135
74.9713,-19.3627
76.9204,-11.7411
78.1028,-3.92322
78.4987,4.01365
78.0964,11.9902
76.8917,19.9259
74.889,27.7398
72.1006,35.3517
68.5471,42.6822
64.2568,49.6543
59.2662,56.1938
53.619,62.2303
47.366,67.6977
40.5647,72.535
33.2789,76.6874
25.5776,80.1061
17.535,82.7496
9.22928,84.5837
0.742032,85.5823
-7.84247,85.7274
-16.4382,85.0095
-24.9583,83.4281
-33.3157,80.9909
-41.4245,77.715
-49.2002,73.6257
-56.5611,68.757
-63.429,63.1511
-69.7299,56.8581
-75.395,49.9354
-80.3613,42.4475
-84.5722,34.465
-87.9787,26.0644
-90.5389,17.3268
-92.2198,8.33765
-92.9964,-0.81432
-92.8531,-10.038
-91.7834,-19.2408
-89.7901,-28.3295
-86.8853,-37.2112
-83.0906,-45.7944
-78.4368,-53.9898
-72.9636,-61.7112
-66.7194,-68.8767
-59.7607,-75.4091
-52.152,-81.2372
-43.9645,-86.2961
-35.2763,-90.5283
-26.1709,-93.8843
-16.7368,-96.323
-7.06672,-97.812
2.74372,-98.3288
12.5966,-97.86
22.3927,-96.4024
32.0326,-93.9628
41.4179,-90.5578
50.4517,-86.2142
59.0399,-80.9682
67.0925,-74.8656
74.5237,-67.9612
81.2538,-60.3185
87.2092,-52.0086
92.3239,-43.1103
96.5395,-33.7087
99.8067,-23.8949
102.085,-13.7646
103.344,-3.41757
103.563,7.04341
102.732,17.5137
100.851,27.8877
97.9314,38.0602
93.9946,47.9269
89.0727,57.386
83.2078,66.3391
76.4522,74.6921
68.8673,82.3563
60.5234,89.2493
51.4989,95.2959
41.88,100.429
31.7592,104.59
21.2349,107.729
