Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
5,0,-95,192.5
-20,0,-70,192.5
5,-27.5,-45,192.5
30,0,-20,192.5
30,27.5,5,192.5
5,27.5,30,192.5
-20,27.5,55,192.5
-45,0,80,192.5
-45,-27.5,105,192.5
-20,-27.5,-145,165
-20,-55,-120,165
5,-55,-95,165
30,-27.5,-70,165
55,-27.5,-45,165
55,0,-20,165
55,27.5,5,165
30,55,30,165
5,55,55,165
-20,55,80,165
-45,55,105,165
-45,27.5,130,165
-70,27.5,-170,137.5
-70,0,-145,137.5
-70,-27.5,-120,137.5
-45,-55,-95,137.5
-20,-82.5,-70,137.5
5,-82.5,-45,137.5
30,-55,-20,137.5
55,-55,5,137.5
80,-27.5,30,137.5
80,0,55,137.5
80,27.5,80,137.5
55,55,105,137.5
30,82.5,130,137.5
5,82.5,155,137.5
-20,82.5,-170,110
-45,82.5,-145,110
-70,55,-120,110
-95,27.5,-95,110
-95,0,-70,110
-95,-27.5,-45,110
-70,-55,-20,110
-70,-82.5,5,110
-45,-82.5,30,110
5,-110,55,110
30,-82.5,80,110
55,-82.5,105,110
80,-55,130,110
105,-27.5,155,110
105,0,180,110
105,27.5,-195,82.5
80,55,-170,82.5
80,82.5,-145,82.5
55,82.5,-120,82.5
30,110,-95,82.5
5,110,-70,82.5
-20,110,-45,82.5
-45,110,-20,82.5
-70,82.5,5,82.5
-95,82.5,30,82.5
-95,55,55,82.5
-120,27.5,80,82.5
-120,0,105,82.5
-120,-27.5,130,82.5
-120,-55,155,82.5
-95,-55,180,82.5
-95,-82.5,-195,55
-70,-110,-170,55
-45,-110,-145,55
-20,-110,-120,55
5,-137.5,-95,55
30,-110,-70,55
55,-110,-45,55
80,-110,-20,55
80,-82.5,5,55
105,-82.5,30,55
105,-55,55,55
130,-27.5,80,55
130,0,105,55
130,27.5,130,55
130,55,155,55
105,55,180,55
105,82.5,205,55
80,110,-195,27.5
55,110,-170,27.5
30,137.5,-145,27.5
5,137.5,-120,27.5
-20,137.5,-95,27.5
-45,137.5,-70,27.5
-70,110,-45,27.5
-95,110,-20,27.5
-120,82.5,5,27.5
-120,55,30,27.5
-145,27.5,55,27.5
-145,0,80,27.5
-145,-27.5,105,27.5
-145,-55,130,27.5
-120,-82.5,155,27.5
-95,-110,180,27.5
-70,-137.5,205,27.5
-45,-137.5,-195,0
-20,-137.5,-170,0
30,-137.5,-145,0
55,-137.5,-120,0
80,-137.5,-95,0
105,-110,-70,0
130,-82.5,-45,0
130,-55,-20,0
155,-55,5,0
155,-27.5,30,0
155,0,55,0
155,27.5,80,0
155,55,105,0
130,82.5,130,0
105,110,155,0
80,137.5,180,0
55,137.5,205,0
30,165,-195,-27.5
5,165,-170,-27.5
-20,165,-145,-27.5
-45,165,-120,-27.5
-70,137.5,-95,-27.5
-95,137.5,-70,-27.5
-120,110,-45,-27.5
-145,82.5,-20,-27.5
-145,55,5,-27.5
-170,55,30,-27.5
-170,27.5,55,-27.5
-170,0,80,-27.5
-170,-27.5,105,-27.5
-170,-55,130,-27.5
-145,-82.5,155,-27.5
-145,-110,180,-27.5
-120,-110,205,-27.5
-120,-137.5,-195,-55
-95,-137.5,-170,-55
-70,-165,-145,-55
-45,-165,-120,-55
-20,-165,-95,-55
5,-165,-70,-55
30,-165,-45,-55
55,-165,-20,-55
80,-165,5,-55
105,-137.5,30,-55
130,-110,55,-55
155,-82.5,80,-55
180,-55,105,-55
180,-27.5,130,-55
180,0,155,-55
180,27.5,180,-55
180,55,205,-55
155,82.5,-195,-82.5
155,110,-170,-82.5
130,110,-145,-82.5
130,137.5,-120,-82.5
105,137.5,-95,-82.5
80,165,-70,-82.5
55,165,-45,-82.5
30,192.5,-20,-82.5
5,192.5,5,-82.5
-20,192.5,30,-82.5
-45,192.5,55,-82.5
-70,165,80,-82.5
-95,165,105,-82.5
-120,137.5,130,-82.5
-145,137.5,155,-82.5
-145,110,180,-82.5
-170,110,-170,-110
-170,82.5,-145,-110
-195,55,-120,-110
-195,27.5,-95,-110
-195,0,-70,-110
-195,-27.5,-45,-110
-195,-55,-20,-110
-170,-82.5,5,-110
-170,-110,30,-110
-145,-137.5,55,-110
-120,-165,80,-110
-95,-165,105,-110
-70,-192.5,130,-110
-45,-192.5,155,-110
-20,-192.5,180,-110
5,-192.5,-170,-137.5
30,-192.5,-145,-137.5
55,-192.5,-120,-137.5
80,-192.5,-95,-137.5
105,-165,-70,-137.5
130,-165,-45,-137.5
130,-137.5,-20,-137.5
155,-137.5,5,-137.5
180,-110,30,-137.5
155,-110,55,-137.5
180,-82.5,80,-137.5
205,-55,105,-137.5
205,-27.5,130,-137.5
205,0,155,-137.5
205,27.5,-145,-165
205,55,-120,-165
180,82.5,-95,-165
180,110,-70,-165
155,137.5,-45,-165
130,165,-20,-165
105,192.5,5,-165
105,165,30,-165
80,192.5,55,-165
55,192.5,80,-165
-70,192.5,105,-165
-95,192.5,130,-165
-120,165,-95,-192.5
-145,165,-70,-192.5
-170,137.5,-45,-192.5
-195,82.5,-20,-192.5
-195,-82.5,5,-192.5
-170,-137.5,30,-192.5
-145,-165,55,-192.5
-95,-192.5,80,-192.5
105,-192.5,105,-192.5
