Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
-5.55187,4.71326,-165.163,-24.019
-8.74428,0.956791,208.862,217.595
13.5986,-4.67463,59.9477,60.1336
-20.0648,24.5184,187.871,-216.876
42.5571,10.4218,-57.5179,-275.155
-11.6707,52.6804,-20.0648,24.5184
52.5012,20.7593,-16.043,286.101
-2.92948,59.6571,198.522,-149.001
-45.1773,39.2789,193.443,193.705
59.9789,25.112,288.182,131.443
5.35598,68.0243,222.157,227.409
13.9868,-67.6142,154.006,-252.752
-70.8715,10.3147,108.915,12.3244
36.7425,-63.2535,41.555,-286.67
-18.3651,79.3345,99.847,62.6573
59.9477,60.1336,-2.70492,290.558
85.7574,-15.4123,181.362,-242.497
57.9876,64.7854,128.192,-296.01
26.453,85.2632,-286.465,-255.268
-81.7397,38.1965,-212.661,-119.276
-15.7115,-90.3507,-262.641,-106.485
77.9676,-51.5292,-73.2419,-132.305
-64.7267,-76.3807,-132.957,233.642
100.302,-21.2044,-294.554,-80.8476
-89.5668,-51.3943,-45.1773,39.2789
108.915,12.3244,138.097,279.588
75.1181,83.0777,62.474,297.851
-114.798,-26.5334,185.552,-228.318
112.703,-41.368,112.703,-41.368
120.184,-6.38292,-200.936,-100.569
99.847,62.6573,159.93,187.415
110.874,-56.1715,104.29,248.574
118.212,-34.0696,-109.495,102.799
-129.422,-0.137188,210.875,57.2301
126.641,-32.4072,-163.94,48.2042
121.118,57.568,274.495,-213.475
123.588,55.4452,-264.851,-264.965
-44.2783,127.567,-181.88,-99.3646
-114.492,81.453,-52.6199,-176.04
30.5425,135.427,273.546,-134.17
-80.7006,-114.015,110.874,-56.1715
-25.9191,-144.581,233.203,-66.8861
-7.5345,-142.012,283.308,-76.4299
-109.495,102.799,-11.6707,52.6804
-151.984,-5.89519,13.1891,252.508
-73.2419,-132.305,-255.334,120.752
-58.1666,142.718,-249.504,157.699
-151.669,-31.7284,130.587,-111.693
-13.0366,-152.493,59.9789,25.112
112.466,-115.025,-13.0366,-152.493
131.712,-81.3732,-80.7006,-114.015
153.887,-42.9565,113.537,-182.528
19.6593,158.251,-184.594,-185.58
138.567,82.4208,218.663,204.781
-74.2049,150.56,-292.115,186.07
-165.163,-24.019,-138.785,-192.684
-133.871,-96.1939,-89.5668,-51.3943
148.914,76.7314,179.232,-246.497
-163.94,48.2042,-175.208,-96.3652
130.587,-111.693,-25.9191,-144.581
-131.544,118.494,52.5012,20.7593
-172.23,42.3448,-244.244,-10.9004
-52.6199,-176.04,-189.424,-197.115
-22.6329,-175.451,288.459,-154.483
15.1734,183.726,-129.422,-0.137188
-94.3113,163.665,38.3436,-296.684
-158.365,92.188,30.5425,135.427
6.08478,-191.382,-14.7197,-205.673
-25.6283,187.594,-29.0579,232.399
93.7165,-168.399,198.26,-279.563
113.537,-182.528,-266.508,-91.3565
128.192,-296.01,211.752,-277.273
187.871,-216.876,-15.7115,-90.3507
145.967,-172.713,199.1,161.164
198.522,-149.001,240.106,-76.5592
219.347,-178.662,-70.8715,10.3147
154.006,-252.752,93.7165,-168.399
181.362,-242.497,239.186,-293.162
217.178,-281.479,-135.279,267.364
185.552,-228.318,243.647,-30.4738
162.708,-192.982,-292.935,-203.537
274.495,-213.475,-31.4465,-237.783
284.574,-243.936,219.347,-178.662
288.459,-154.483,70.8036,237.727
291.343,-294.114,284.574,-243.936
198.26,-279.563,-212.835,255.219
205.209,-210.389,162.708,-192.982
179.232,-246.497,121.118,57.568
211.752,-277.273,197.93,37.9798
200.324,-165.563,-74.1479,-261.258
239.186,-293.162,19.6593,158.251
273.546,-134.17,-221.932,23.0589
229.785,-131.92,-140.837,-281.173
207.92,-115.451,198.429,-47.6209
233.203,-66.8861,5.35598,68.0243
283.308,-76.4299,56.2022,288.892
240.106,-76.5592,-261.593,-251.653
250.749,-71.8134,145.967,-172.713
198.429,-47.6209,6.08478,-191.382
188.542,-29.0884,95.7162,212.455
243.647,-30.4738,126.641,-32.4072
218.244,-7.18474,240.117,-4.30473
240.117,-4.30473,200.324,-165.563
197.93,37.9798,-213.541,-146.873
210.875,57.2301,-197.715,-290.986
190.334,113.743,44.5497,290.327
288.182,131.443,153.887,-42.9565
208.862,217.595,-64.7267,-76.3807
165.046,228.929,190.334,113.743
199.1,161.164,131.712,-81.3732
193.443,193.705,-277.504,-296.385
222.157,227.409,-151.984,-5.89519
143.851,253.608,250.749,-71.8134
218.663,204.781,-227.471,34.1669
297.062,198.426,-227.485,90.9993
164.356,278.059,-158.365,92.188
136.328,194.712,118.212,-34.0696
138.097,279.588,218.244,-7.18474
156.991,198.607,-133.871,-96.1939
260.786,193.661,-211.717,-209.981
159.93,187.415,297.062,198.426
104.29,248.574,164.356,278.059
95.7162,212.455,-61.1351,-211.234
70.8036,237.727,136.328,194.712
62.474,297.851,-212.566,219.53
44.5497,290.327,-58.1666,142.718
56.2022,288.892,-262.486,-33.4242
13.1891,252.508,123.588,55.4452
-16.043,286.101,81.2951,-201.256
-2.70492,290.558,-114.492,81.453
-2.72676,222.771,64.6631,-254.189
-34.3126,278.253,13.9868,-67.6142
-23.6213,261.557,-172.861,-117.371
-29.0579,232.399,-261.511,-35.5843
-70.9507,262.124,156.991,198.607
-116.775,168.585,-281.801,15.3996
-132.957,233.642,-156.637,131.385
-135.279,267.364,260.786,193.661
-158.568,236.619,-2.92948,59.6571
-212.835,255.219,90.6614,-258.097
-212.566,219.53,26.453,85.2632
-264.133,295.13,-5.55187,4.71326
-292.115,186.07,229.785,-131.92
-249.504,157.699,-235.087,108.467
-204.94,242.762,112.466,-115.025
-159.204,142.803,85.7574,-15.4123
-156.637,131.385,100.302,-21.2044
-255.334,120.752,-44.2783,127.567
-235.087,108.467,-23.6213,261.557
-227.485,90.9993,-159.204,142.803
-267.958,71.9691,-172.23,42.3448
-221.932,23.0589,57.9876,64.7854
-281.801,15.3996,-299.213,-101.521
-227.471,34.1669,-151.669,-31.7284
-244.244,-10.9004,-34.3126,278.253
-261.511,-35.5843,217.178,-281.479
-262.486,-33.4242,15.1734,183.726
-231.894,-47.4622,-25.6283,187.594
-294.554,-80.8476,-267.496,-249.852
-175.208,-96.3652,-116.775,168.585
-181.88,-99.3646,-70.9507,262.124
-299.213,-101.521,-114.798,-26.5334
-266.508,-91.3565,-93.0749,-195.408
-200.936,-100.569,-7.5345,-142.012
-262.641,-106.485,-22.6329,-175.451
-212.661,-119.276,90.0415,-295.913
-269.942,-106.918,165.046,228.929
-172.861,-117.371,8.15097,-252.411
-264.851,-264.965,42.5571,10.4218
-286.465,-255.268,77.9676,-51.5292
-184.594,-185.58,138.567,82.4208
-292.935,-203.537,-94.3113,163.665
-277.504,-296.385,-2.72676,222.771
-223.256,-276.946,143.851,253.608
-261.593,-251.653,120.184,-6.38292
-267.496,-249.852,-204.94,242.762
-213.541,-146.873,207.92,-115.451
-211.717,-209.981,205.209,-210.389
-197.715,-290.986,-267.958,71.9691
-167.691,-226.374,148.914,76.7314
-189.424,-197.115,-231.894,-47.4622
-138.785,-192.684,188.542,-29.0884
-140.837,-281.173,-269.942,-106.918
-93.0749,-195.408,-223.256,-276.946
-74.1479,-261.258,-264.133,295.13
-61.1351,-211.234,13.5986,-4.67463
-57.5179,-275.155,36.7425,-63.2535
-31.4465,-237.783,-12.0992,-200.509
-12.0992,-200.509,291.343,-294.114
-14.7197,-205.673,-81.7397,38.1965
-22.0798,-282.174,29.4985,-228.734
8.15097,-252.411,-131.544,118.494
29.4985,-228.734,75.1181,83.0777
41.555,-286.67,-18.3651,79.3345
38.3436,-296.684,-74.2049,150.56
64.6631,-254.189,-158.568,236.619
81.2951,-201.256,-22.0798,-282.174
90.6614,-258.097,-167.691,-226.374
90.0415,-295.913,-8.74428,0.956791
86.771,-285.861,86.771,-285.861
