Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
-2,0,-62,135
2,0,-58,135
-6,0,-54,135
6,0,-50,135
-10,0,-46,135
10,0,-42,135
14,0,-38,135
-14,0,-34,135
2,15,-30,135
2,-15,-26,135
-2,-15,-22,135
-2,15,-18,135
-6,-15,-14,135
6,-15,-10,135
6,15,-6,135
-6,15,-2,135
-18,0,2,135
18,0,6,135
10,15,10,135
-10,15,14,135
10,-15,18,135
-10,-15,22,135
14,-15,26,135
-14,15,30,135
-14,-15,34,135
14,15,38,135
-22,0,42,135
22,0,46,135
18,-15,50,135
-18,15,54,135
18,15,58,135
-18,-15,62,135
-26,0,-86,120
26,0,-82,120
-22,-15,-78,120
-22,15,-74,120
22,-15,-70,120
22,15,-66,120
-30,0,-62,120
30,0,-58,120
-26,15,-54,120
26,15,-50,120
26,-15,-46,120
-26,-15,-42,120
-2,30,-38,120
-2,-30,-34,120
2,-30,-30,120
2,30,-26,120
6,-30,-22,120
6,30,-18,120
-6,30,-14,120
-6,-30,-10,120
-10,-30,-6,120
10,-30,-2,120
10,30,2,120
-10,30,6,120
14,-30,10,120
14,30,14,120
-14,30,18,120
-14,-30,22,120
-30,15,26,120
30,-15,30,120
-30,-15,34,120
30,15,38,120
-34,0,42,120
34,0,46,120
-18,30,50,120
18,-30,54,120
18,30,58,120
-18,-30,62,120
-34,15,66,120
34,-15,70,120
-34,-15,74,120
34,15,78,120
-22,30,82,120
22,-30,86,120
-22,-30,-106,105
22,30,-102,105
38,0,-98,105
-38,0,-94,105
26,-30,-90,105
26,30,-86,105
-26,30,-82,105
-26,-30,-78,105
-38,-15,-74,105
-38,15,-70,105
38,15,-66,105
38,-15,-62,105
42,0,-58,105
-42,0,-54,105
30,-30,-50,105
-30,30,-46,105
30,30,-42,105
-30,-30,-38,105
42,-15,-34,105
-42,-15,-30,105
-42,15,-26,105
42,15,-22,105
2,-45,-18,105
-2,45,-14,105
2,45,-10,105
-2,-45,-6,105
34,-30,-2,105
-34,-30,2,105
-34,30,6,105
34,30,10,105
-6,45,14,105
6,-45,18,105
-6,-45,22,105
6,45,26,105
-46,0,30,105
46,0,34,105
-10,45,38,105
10,-45,42,105
10,45,46,105
-10,-45,50,105
-14,45,54,105
14,-45,58,105
14,45,62,105
-14,-45,66,105
46,15,70,105
-46,-15,74,105
-46,15,78,105
46,-15,82,105
38,-30,86,105
-38,-30,90,105
-38,30,94,105
38,30,98,105
-18,45,102,105
18,-45,106,105
-18,-45,-118,90
18,45,-114,90
50,0,-110,90
-50,0,-106,90
22,45,-102,90
22,-45,-98,90
-22,-45,-94,90
-22,45,-90,90
-42,30,-86,90
42,-30,-82,90
-42,-30,-78,90
42,30,-74,90
-26,-45,-70,90
-26,45,-66,90
26,-45,-62,90
26,45,-58,90
50,-15,-54,90
50,15,-50,90
-50,15,-46,90
-50,-15,-42,90
-54,0,-38,90
54,0,-34,90
30,45,-30,90
-30,45,-26,90
30,-45,-22,90
-30,-45,-18,90
46,-30,-14,90
-46,30,-10,90
46,30,-6,90
-46,-30,-2,90
-54,-15,2,90
54,-15,6,90
-54,15,10,90
54,15,14,90
34,45,18,90
-34,45,22,90
-34,-45,26,90
34,-45,30,90
-58,0,34,90
58,0,38,90
50,30,42,90
-50,30,46,90
50,-30,50,90
-50,-30,54,90
38,45,58,90
-38,45,62,90
38,-45,66,90
-38,-45,70,90
-58,15,74,90
58,-15,78,90
58,15,82,90
-58,-15,86,90
-2,-60,90,90
2,-60,94,90
-2,60,98,90
2,60,102,90
6,-60,106,90
-6,60,110,90
-6,-60,114,90
6,60,118,90
-10,-60,-126,75
10,-60,-122,75
-10,60,-118,75
10,60,-114,75
42,-45,-110,75
-42,45,-106,75
42,45,-102,75
-42,-45,-98,75
14,60,-94,75
14,-60,-90,75
-14,60,-86,75
-14,-60,-82,75
-54,-30,-78,75
-54,30,-74,75
54,30,-70,75
54,-30,-66,75
-62,0,-62,75
62,0,-58,75
-18,60,-54,75
18,60,-50,75
-18,-60,-46,75
18,-60,-42,75
-62,15,-38,75
-62,-15,-34,75
62,-15,-30,75
62,15,-26,75
-22,60,-22,75
-22,-60,-18,75
22,-60,-14,75
22,60,-10,75
46,-45,-6,75
-46,45,-2,75
-46,-45,2,75
46,45,6,75
58,30,10,75
-58,-30,14,75
58,-30,18,75
-58,30,22,75
-26,60,26,75
-26,-60,30,75
26,-60,34,75
26,60,38,75
-66,0,42,75
66,0,46,75
-30,60,50,75
-30,-60,54,75
30,-60,58,75
30,60,62,75
50,-45,66,75
-50,45,70,75
50,45,74,75
-50,-45,78,75
66,-15,82,75
-66,15,86,75
-66,-15,90,75
66,15,94,75
62,30,98,75
-62,30,102,75
62,-30,106,75
-62,-30,110,75
34,-60,114,75
-34,-60,118,75
-34,60,122,75
34,60,126,75
-70,0,-134,60
70,0,-130,60
-54,-45,-126,60
54,-45,-122,60
54,45,-118,60
-54,45,-114,60
-38,-60,-110,60
38,60,-106,60
38,-60,-102,60
-38,60,-98,60
-70,-15,-94,60
-70,15,-90,60
70,-15,-86,60
70,15,-82,60
66,-30,-78,60
-66,30,-74,60
66,30,-70,60
-66,-30,-66,60
42,60,-62,60
42,-60,-58,60
-42,-60,-54,60
-42,60,-50,60
58,-45,-46,60
-58,-45,-42,60
-58,45,-38,60
58,45,-34,60
-74,0,-30,60
74,0,-26,60
2,75,-22,60
-2,75,-18,60
-2,-75,-14,60
2,-75,-10,60
6,75,-6,60
-6,75,-2,60
-6,-75,2,60
6,-75,6,60
-74,-15,10,60
-74,15,14,60
74,15,18,60
74,-15,22,60
-46,-60,26,60
-46,60,30,60
46,60,34,60
46,-60,38,60
-10,75,42,60
10,75,46,60
10,-75,50,60
-10,-75,54,60
70,-30,58,60
-70,30,62,60
-70,-30,66,60
70,30,70,60
-14,-75,74,60
-14,75,78,60
14,75,82,60
14,-75,86,60
62,45,90,60
62,-45,94,60
-62,45,98,60
-62,-45,102,60
18,-75,106,60
-18,75,110,60
18,75,114,60
-18,-75,118,60
-78,0,122,60
78,0,126,60
50,60,130,60
-50,-60,134,60
-50,60,-142,45
50,-60,-138,45
22,-75,-134,45
-22,-75,-130,45
22,75,-126,45
-22,75,-122,45
-26,75,-118,45
26,-75,-114,45
26,75,-110,45
-26,-75,-106,45
78,-15,-102,45
-78,15,-98,45
-78,-15,-94,45
78,15,-90,45
-74,-30,-86,45
74,30,-82,45
-74,30,-78,45
74,-30,-74,45
66,-45,-70,45
66,45,-66,45
-66,-45,-62,45
-66,45,-58,45
-54,-60,-54,45
54,-60,-50,45
-54,60,-46,45
54,60,-42,45
-30,75,-38,45
30,75,-34,45
-30,-75,-30,45
30,-75,-26,45
-82,0,-22,45
82,0,-18,45
-34,75,-14,45
34,75,-10,45
-34,-75,-6,45
34,-75,-2,45
70,-45,2,45
-70,45,6,45
70,45,10,45
-70,-45,14,45
-82,15,18,45
82,15,22,45
82,-15,26,45
-82,-15,30,45
-58,-60,34,45
58,60,38,45
58,-60,42,45
-58,60,46,45
78,30,50,45
-78,30,54,45
-78,-30,58,45
78,-30,62,45
38,-75,66,45
-38,-75,70,45
38,75,74,45
-38,75,78,45
42,75,82,45
-42,-75,86,45
-42,75,90,45
42,-75,94,45
86,0,98,45
-86,0,102,45
62,-60,106,45
-62,-60,110,45
62,60,114,45
-62,60,118,45
74,45,122,45
-74,-45,126,45
-74,45,130,45
74,-45,134,45
-86,15,138,45
86,15,142,45
-86,-15,-146,30
86,-15,-142,30
82,30,-138,30
82,-30,-134,30
-82,-30,-130,30
-82,30,-126,30
46,75,-122,30
-46,-75,-118,30
46,-75,-114,30
-46,75,-110,30
-66,-60,-106,30
-66,60,-102,30
66,-60,-98,30
66,60,-94,30
90,0,-90,30
-90,0,-86,30
-2,-90,-82,30
2,90,-78,30
-2,90,-74,30
2,-90,-70,30
78,45,-66,30
78,-45,-62,30
-78,45,-58,30
-78,-45,-54,30
-50,75,-50,30
-50,-75,-46,30
50,75,-42,30
50,-75,-38,30
6,-90,-34,30
6,90,-30,30
-6,90,-26,30
-6,-90,-22,30
10,-90,-18,30
-10,90,-14,30
-10,-90,-10,30
10,90,-6,30
-86,30,-2,30
-14,90,2,30
-14,-90,6,30
86,30,10,30
86,-30,14,30
14,90,18,30
-86,-30,22,30
14,-90,26,30
90,-15,30,30
-90,15,34,30
-90,-15,38,30
90,15,42,30
18,90,46,30
-18,-90,50,30
-18,90,54,30
18,-90,58,30
-70,-60,62,30
-70,60,66,30
70,60,70,30
70,-60,74,30
-54,-75,78,30
54,-75,82,30
-54,75,86,30
54,75,90,30
-22,90,94,30
22,-90,98,30
22,90,102,30
-22,-90,106,30
82,-45,110,30
-82,-45,114,30
-82,45,118,30
82,45,122,30
-26,-90,126,30
-26,90,130,30
26,90,134,30
26,-90,138,30
94,0,142,30
-94,0,146,30
58,75,-146,15
58,-75,-142,15
-58,75,-138,15
-58,-75,-134,15
-30,-90,-130,15
-90,30,-126,15
-30,90,-122,15
30,90,-118,15
90,30,-114,15
-90,-30,-110,15
90,-30,-106,15
30,-90,-102,15
94,15,-98,15
94,-15,-94,15
-94,15,-90,15
-94,-15,-86,15
74,-60,-82,15
74,60,-78,15
-74,-60,-74,15
-74,60,-70,15
-34,-90,-66,15
34,90,-62,15
-34,90,-58,15
34,-90,-54,15
-86,45,-50,15
86,-45,-46,15
86,45,-42,15
-86,-45,-38,15
62,75,-34,15
62,-75,-30,15
-62,-75,-26,15
-62,75,-22,15
-38,90,-18,15
38,-90,-14,15
38,90,-10,15
-38,-90,-6,15
-98,0,-2,15
98,0,2,15
78,-60,6,15
-78,60,10,15
-78,-60,14,15
78,60,18,15
94,30,22,15
94,-30,26,15
-94,30,30,15
-94,-30,34,15
-98,15,38,15
98,-15,42,15
-98,-15,46,15
98,15,50,15
42,-90,54,15
42,90,58,15
-42,90,62,15
-42,-90,66,15
66,75,70,15
66,-75,74,15
-66,75,78,15
-66,-75,82,15
90,-45,86,15
-90,45,90,15
-90,-45,94,15
90,45,98,15
46,-90,102,15
-46,-90,106,15
-46,90,110,15
46,90,114,15
