Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
-5.55187,4.71326,-165.163,-24.019
-8.74428,0.956791,208.862,217.595
13.5986,-4.67463,59.9477,60.1336
-20.0648,24.5184,187.871,-216.876
42.5571,10.4218,-57.5179,-275.155
-11.6707,52.6804,-20.0648,24.5184
52.5012,20.7593,-16.043,286.101
-2.92948,59.6571,198.522,-149.001
-45.1773,39.2789,193.443,193.705
59.9789,25.112,288.182,131.443
5.35598,68.0243,222.157,227.409
13.9868,-67.6142,154.006,-252.752
-70.8715,10.3147,108.915,12.3244
36.7425,-63.2535,41.555,-286.67
-18.3651,79.3345,99.847,62.6573
59.9477,60.1336,-2.70492,290.558
57.9876,64.7854,181.362,-242.497
85.7574,-15.4123,128.192,-296.01
26.453,85.2632,-286.465,-255.268
-81.7397,38.1965,-212.661,-119.276
-15.7115,-90.3507,-262.641,-106.485
77.9676,-51.5292,-73.2419,-132.305
-64.7267,-76.3807,-132.957,233.642
100.302,-21.2044,-294.554,-80.8476
-89.5668,-51.3943,-45.1773,39.2789
108.915,12.3244,138.097,279.588
75.1181,83.0777,62.474,297.851
-114.798,-26.5334,185.552,-228.318
99.847,62.6573,112.703,-41.368
112.703,-41.368,-200.936,-100.569
120.184,-6.38292,159.93,187.415
118.212,-34.0696,104.29,248.574
110.874,-56.1715,-109.495,102.799
-129.422,-0.137188,210.875,57.2301
126.641,-32.4072,-163.94,48.2042
121.118,57.568,274.495,-213.475
-44.2783,127.567,-264.851,-264.965
123.588,55.4452,-181.88,-99.3646
30.5425,135.427,-52.6199,-176.04
-80.7006,-114.015,273.546,-134.17
-114.492,81.453,110.874,-56.1715
-7.5345,-142.012,233.203,-66.8861
-25.9191,-144.581,283.308,-76.4299
-109.495,102.799,-11.6707,52.6804
-73.2419,-132.305,13.1891,252.508
-151.984,-5.89519,-255.334,120.752
-13.0366,-152.493,-249.504,157.699
-58.1666,142.718,130.587,-111.693
131.712,-81.3732,59.9789,25.112
-151.669,-31.7284,-13.0366,-152.493
19.6593,158.251,-80.7006,-114.015
153.887,-42.9565,113.537,-182.528
112.466,-115.025,-184.594,-185.58
138.567,82.4208,218.663,204.781
-133.871,-96.1939,-292.115,186.07
-165.163,-24.019,-138.785,-192.684
148.914,76.7314,-89.5668,-51.3943
-74.2049,150.56,179.232,-246.497
-163.94,48.2042,-175.208,-96.3652
130.587,-111.693,-25.9191,-144.581
-22.6329,-175.451,52.5012,20.7593
-131.544,118.494,-244.244,-10.9004
-172.23,42.3448,-189.424,-197.115
-158.365,92.188,288.459,-154.483
-52.6199,-176.04,-129.422,-0.137188
15.1734,183.726,38.3436,-296.684
-94.3113,163.665,30.5425,135.427
-25.6283,187.594,-14.7197,-205.673
188.542,-29.0884,-29.0579,232.399
6.08478,-191.382,198.26,-279.563
93.7165,-168.399,-266.508,-91.3565
-175.208,-96.3652,211.752,-277.273
-12.0992,-200.509,-15.7115,-90.3507
197.93,37.9798,199.1,161.164
198.429,-47.6209,240.106,-76.5592
-156.637,131.385,-70.8715,10.3147
-116.775,168.585,93.7165,-168.399
-14.7197,-205.673,239.186,-293.162
-181.88,-99.3646,-135.279,267.364
-172.861,-117.371,243.647,-30.4738
-159.204,142.803,-292.935,-203.537
113.537,-182.528,-31.4465,-237.783
-93.0749,-195.408,219.347,-178.662
81.2951,-201.256,70.8036,237.727
218.244,-7.18474,284.574,-243.936
210.875,57.2301,-212.835,255.219
-61.1351,-211.234,162.708,-192.982
190.334,113.743,121.118,57.568
-2.72676,222.771,197.93,37.9798
-221.932,23.0589,-74.1479,-261.258
-200.936,-100.569,19.6593,158.251
145.967,-172.713,-221.932,23.0589
-227.471,34.1669,-140.837,-281.173
29.4985,-228.734,198.429,-47.6209
95.7162,212.455,5.35598,68.0243
-29.0579,232.399,56.2022,288.892
-231.894,-47.4622,-261.593,-251.653
-138.785,-192.684,145.967,-172.713
136.328,194.712,6.08478,-191.382
207.92,-115.451,95.7162,212.455
-31.4465,-237.783,126.641,-32.4072
240.117,-4.30473,240.117,-4.30473
233.203,-66.8861,200.324,-165.563
-212.661,-119.276,-213.541,-146.873
-244.244,-10.9004,-197.715,-290.986
-227.485,90.9993,44.5497,290.327
243.647,-30.4738,153.887,-42.9565
159.93,187.415,-64.7267,-76.3807
70.8036,237.727,190.334,113.743
198.522,-149.001,131.712,-81.3732
240.106,-76.5592,-277.504,-296.385
162.708,-192.982,-151.984,-5.89519
8.15097,-252.411,250.749,-71.8134
13.1891,252.508,-227.471,34.1669
156.991,198.607,-227.485,90.9993
199.1,161.164,-158.365,92.188
-235.087,108.467,118.212,-34.0696
-213.541,-146.873,218.244,-7.18474
200.324,-165.563,-133.871,-96.1939
250.749,-71.8134,-211.717,-209.981
-184.594,-185.58,297.062,198.426
64.6631,-254.189,164.356,278.059
-23.6213,261.557,-61.1351,-211.234
-261.511,-35.5843,136.328,194.712
-262.486,-33.4242,-212.566,219.53
229.785,-131.92,-58.1666,142.718
-132.957,233.642,-262.486,-33.4242
104.29,248.574,123.588,55.4452
-70.9507,262.124,81.2951,-201.256
-74.1479,-261.258,-114.492,81.453
-189.424,-197.115,64.6631,-254.189
90.6614,-258.097,13.9868,-67.6142
193.443,193.705,-172.861,-117.371
-267.958,71.9691,-261.511,-35.5843
-34.3126,278.253,156.991,198.607
-57.5179,-275.155,-281.801,15.3996
-167.691,-226.374,-156.637,131.385
-266.508,-91.3565,260.786,193.661
-281.801,15.3996,-2.92948,59.6571
165.046,228.929,90.6614,-258.097
-255.334,120.752,26.453,85.2632
219.347,-178.662,-5.55187,4.71326
-22.0798,-282.174,229.785,-131.92
-262.641,-106.485,-235.087,108.467
-158.568,236.619,112.466,-115.025
-16.043,286.101,85.7574,-15.4123
187.871,-216.876,100.302,-21.2044
41.555,-286.67,-44.2783,127.567
-269.942,-106.918,-23.6213,261.557
-2.70492,290.558,-159.204,142.803
143.851,253.608,-172.23,42.3448
283.308,-76.4299,57.9876,64.7854
44.5497,290.327,-299.213,-101.521
205.209,-210.389,-151.669,-31.7284
185.552,-228.318,-34.3126,278.253
56.2022,288.892,217.178,-281.479
-249.504,157.699,15.1734,183.726
154.006,-252.752,-25.6283,187.594
-211.717,-209.981,-267.496,-249.852
86.771,-285.861,-116.775,168.585
38.3436,-296.684,-70.9507,262.124
218.663,204.781,-114.798,-26.5334
-135.279,267.364,-93.0749,-195.408
208.862,217.595,-7.5345,-142.012
181.362,-242.497,-22.6329,-175.451
62.474,297.851,90.0415,-295.913
273.546,-134.17,165.046,228.929
179.232,-246.497,8.15097,-252.411
-294.554,-80.8476,42.5571,10.4218
-212.566,219.53,77.9676,-51.5292
90.0415,-295.913,138.567,82.4208
138.097,279.588,-94.3113,163.665
-140.837,-281.173,-2.72676,222.771
-299.213,-101.521,143.851,253.608
288.182,131.443,120.184,-6.38292
-204.94,242.762,-204.94,242.762
222.157,227.409,207.92,-115.451
128.192,-296.01,205.209,-210.389
164.356,278.059,-267.958,71.9691
260.786,193.661,148.914,76.7314
288.459,-154.483,-231.894,-47.4622
-212.835,255.219,188.542,-29.0884
198.26,-279.563,-269.942,-106.918
-292.115,186.07,-223.256,-276.946
274.495,-213.475,-264.133,295.13
211.752,-277.273,13.5986,-4.67463
-197.715,-290.986,36.7425,-63.2535
217.178,-281.479,-12.0992,-200.509
-223.256,-276.946,291.343,-294.114
-292.935,-203.537,-81.7397,38.1965
297.062,198.426,29.4985,-228.734
-261.593,-251.653,-131.544,118.494
-267.496,-249.852,75.1181,83.0777
-264.851,-264.965,-18.3651,79.3345
284.574,-243.936,-74.2049,150.56
239.186,-293.162,-158.568,236.619
-286.465,-255.268,-22.0798,-282.174
-264.133,295.13,-167.691,-226.374
-277.504,-296.385,-8.74428,0.956791
291.343,-294.114,86.771,-285.861
